file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,simplicity,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff,gabor_0,gabor_15,gabor_30,gabor_45,gabor_60,gabor_75,gabor_90,gabor_105,gabor_120,gabor_135,gabor_150,gabor_165,EH_0,EH_1,EH_2,EH_3,EH_4,EH_5,EH_6,EH_7,EH_8,EH_9,EH_10,EH_11,EH_12,EH_13,EH_14,EH_15,EH_16,entropy
0016,1280,720,0.344197,0.460491,0.0793748,0.351236,0.469908,0.0959197,0.304567,0.407471,0.0724242,0.576278,0.450827,0.0702604,12.0073,12.3731,11.6414,13.5762,3,0.4322,0.500213,0.0869565,0.00383987,0,0.0102941,0.162523,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,4,3,1,1,4,1,1,1,1,1,1,1,4,0.627351
0017,1280,720,0.382257,0.307875,0.147574,0.345876,0.278573,0.133799,0.271867,0.218965,0.115128,0.0630557,0.274965,0.128643,11.6285,12.0545,11.2026,13.1332,3,0.0909409,0.0936474,0.0977011,0.0110979,0.00574713,0.0160469,0.087902,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,1,1,1,4,4,1,1,4,1,1,1,1,0.476924
0018,1280,720,0.356572,0.680216,0.195302,0.334613,0.638326,0.208954,0.308814,0.58911,0.243588,0.3758,0.63245,0.203737,11.6682,12.1264,11.21,13.1673,3,0.0258159,0.0260292,0.22,0.0118367,0,0.0151373,0.151784,0.24,0.4,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,0.539899
0019,640,352,0.353619,0.322476,0.055321,0.328162,0.299261,0.054994,0.318219,0.290194,0.053263,0.103566,0.299427,0.053647,11.3627,11.8646,10.8607,12.8441,3,0.114604,0.118969,0.362416,0.0272828,0.00671141,0.0297539,0.0572303,0.25,0.416667,0.0938667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,1,1,1,4,4,1,1,4,4,1,2,1,0.502751
0020,1280,720,0.325482,0.602013,0.0301628,0.322181,0.595908,0.026425,0.352338,0.651686,0.0308181,0.0899616,0.592162,0.0263559,11.1381,11.5784,10.6977,12.6465,3,0.10318,0.106728,0,0,0,0,0.0728287,0.3,0.5,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.591484
0021,1280,720,0.368418,0.581747,0.207934,0.322098,0.508606,0.191261,0.309483,0.488686,0.196669,0.249538,0.517731,0.190577,11.1495,11.6693,10.6297,12.6628,3,0.0297179,0.0300052,0.313869,0.0230903,0.00729927,0.00762845,0.129344,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,3,1,1,4,3,1,1,1,1,1,1,4,1,0.592997
0022,640,360,0.3646,0.385764,0.0964586,0.330889,0.350096,0.100823,0.304511,0.322186,0.11629,0.284923,0.350475,0.0975688,11.2296,11.6716,10.7875,12.7495,3,0.0726759,0.0744139,0.025,0.00111214,0,0,0.122167,0.3,0.5,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,4,2,2,3,4,2,4,1,2,2,2,2,2,0.602471
0023,1280,720,0.346225,0.46619,0.111225,0.331698,0.446628,0.119428,0.322077,0.433674,0.110072,0.299481,0.442003,0.112876,11.206,11.6901,10.7219,12.7127,3,0.104303,0.107923,0.154362,0.0138146,0,0.013686,0.0955183,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,3,1,1,1,1,4,1,1,4,2,1,2,1,0.599945
0024,1280,720,0.392294,0.355277,0.161644,0.325907,0.295154,0.17002,0.2818,0.255209,0.166567,0.162297,0.302386,0.160729,11.1096,11.6268,10.5924,12.6095,3,0.0917078,0.0945026,0.0762712,0.00640073,0,0.0167664,0.0867993,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,1,1,1,4,4,1,1,4,4,1,1,1,0.550063
0025,1280,720,0.362956,0.588078,0.14231,0.340073,0.551002,0.16069,0.29697,0.481165,0.156195,0.302305,0.543123,0.142684,11.2661,11.8533,10.6788,12.7569,3,0.0671529,0.0686325,0.134328,0.00731272,0.0149254,0.0101844,0.131291,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.601225
0026,1280,720,0.362655,0.339686,0.141803,0.322812,0.302367,0.137398,0.314532,0.294611,0.130435,0.320971,0.306447,0.13426,11.1895,11.7772,10.6017,12.6846,3,0.0701325,0.0717516,0,0,0,0,0.115875,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,1,1,1,3,1,2,4,1,1,2,2,1,0.530367
0027,1280,720,0.38808,0.59763,0.0379263,0.312849,0.481778,0.0439311,0.299071,0.46056,0.0458115,0.269314,0.503831,0.0403046,11.3899,12.2017,10.5781,12.8801,3,0.0521871,0.0530732,0.84153,0.0902349,0,0.0601307,0.105379,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,1,1,4,1,4,1,4,1,1,4,1,0.63986
0028,1280,720,0.36086,0.507763,0.135707,0.339775,0.478094,0.126801,0.299365,0.421235,0.112665,0.22213,0.470936,0.12475,11.257,12.0149,10.4991,12.7421,3,0.108104,0.111991,0.0131579,0.000735449,0,0.000636395,0.0955048,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,4,2,2,2,2,2,2,4,2,2,2,2,2,0.573981
0029,1280,720,0.352359,0.542265,0.19889,0.32913,0.506516,0.215118,0.318512,0.490175,0.249042,0.499408,0.505152,0.208617,11.2947,12.0831,10.5063,12.789,3,0.142992,0.149866,0.4375,0.0269543,0,0.00784314,0.103033,0.24,0.4,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,4,1,1,1,4,1,1,1,4,3,1,1,1,0.512748
0030,1280,720,0.332221,0.540537,0.21408,0.329982,0.536894,0.214994,0.337796,0.549607,0.224594,0.321146,0.528771,0.20999,11.2024,11.977,10.4277,12.6918,3,0.172146,0.182236,0.0238095,0.00152809,0,0.00284781,0.0788053,0.23976,0.3996,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0.580227
0031,1280,720,0.309899,0.369166,0.192382,0.326722,0.389207,0.209078,0.363379,0.432875,0.247218,0.826949,0.38047,0.199774,10.9411,11.6507,10.2314,12.4015,3,0.13552,0.141745,0.0483384,0.00619851,0,0.00299745,0.0813111,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,1,4,1,4,1,2,2,2,1,1,0.452818
0032,1280,720,0.415772,0.666247,0.103025,0.301862,0.483714,0.0849693,0.282366,0.452473,0.0790881,0.130991,0.524066,0.0853697,10.9348,11.6086,10.261,12.385,3,0.0927288,0.0956023,0.0494505,0.0025621,0,0.00547296,0.110582,0.23976,0.3996,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,1,1,3,1,2,4,2,2,2,2,2,2,2,0.608975
0033,1280,720,0.336324,0.601621,0.0644928,0.331176,0.592412,0.0677876,0.3325,0.594781,0.0720621,0.0916623,0.58367,0.0656587,10.6555,11.2662,10.0448,12.0878,3,0.215255,0.231547,0.0128755,0.000342956,0,0.00148111,0.0717518,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.564683
0034,1280,720,0.348469,0.490217,0.1238,0.347575,0.48896,0.121914,0.303956,0.427597,0.109015,0.167916,0.472742,0.118096,10.61,11.2616,9.95843,12.0307,3,0.0521443,0.0530498,0.409836,0.0138731,0,0.0255545,0.097158,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,0.527587
0035,1280,720,0.415064,0.432344,0.289584,0.361674,0.376731,0.222043,0.223262,0.232557,0.125341,0.186429,0.369283,0.214089,10.5109,11.1621,9.85978,11.9179,3,0.153188,0.161301,0.31016,0.0171825,0,0.0162944,0.0918474,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,4,4,1,1,4,1,1,1,2,4,3,2,1,0.473387
0036,1280,720,0.337043,0.41247,0.213897,0.353393,0.432479,0.222945,0.309564,0.378841,0.235793,0.602073,0.411954,0.215926,10.5802,11.2525,9.90787,11.9901,3,0.0580017,0.0591253,0.047619,0.000961268,0,0.00597572,0.144952,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,3,4,1,1,3,4,1,1,1,4,4,3,1,0.553397
0037,1280,720,0.345771,0.389158,0.0728471,0.35815,0.403091,0.0732799,0.296079,0.333232,0.0899462,1,0.383181,0.0722188,10.7826,11.456,10.1092,12.2089,3,0.00319712,0.00320045,0.0481928,0.00182935,0,0.00236239,0.167252,0.3,0.5,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4,1,2,1,1,4,1,4,4,2,2,4,4,0.609686
0038,1280,720,0.362785,0.371398,0.0712607,0.32382,0.331508,0.0671166,0.313395,0.320835,0.0672347,0.0915358,0.335461,0.0658575,10.7656,11.4413,10.0899,12.1849,3,0.163567,0.172774,0.0784314,0.00811938,0,0.0185313,0.0928834,0.23976,0.3996,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,4,1,1,1,4,1,1,1,4,1,1,1,1,0.585177
0039,1280,720,0.375476,0.382887,0.123313,0.333842,0.340431,0.135479,0.290682,0.296419,0.116223,0.600957,0.341262,0.124858,10.7278,11.4037,10.052,12.1526,3,0.0366042,0.0370465,0.435484,0.0595069,0.0645161,0.0435958,0.111261,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,4,3,1,4,2,1,1,4,2,2,3,4,0.372014
0040,1280,720,0.340491,0.477582,0.153235,0.329937,0.46278,0.156981,0.329572,0.462268,0.155028,0.0537469,0.45785,0.152132,10.6791,11.347,10.0112,12.0997,3,0.133438,0.139519,0.0458015,0.00214893,0,0.00796288,0.0967836,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,2,2,2,1,2,1,1,1,3,1,4,1,2,0.5892
0041,1280,720,0.335789,0.443275,0.159958,0.321888,0.424924,0.168674,0.342323,0.4519,0.160797,0.516225,0.424922,0.161,10.7735,11.4471,10.0999,12.2018,3,0.0679487,0.0694866,0.315789,0.0140863,0,0.0358691,0.143036,0.23976,0.3996,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,1,4,1,1,1,4,1,4,1,1,0.608084
0042,1280,720,0.345361,0.468513,0.132385,0.352003,0.477523,0.159129,0.302635,0.410551,0.12501,0.185133,0.457853,0.138535,10.7372,11.4138,10.0607,12.1615,3,0.104067,0.107723,0.366013,0.0209996,0,0.0111239,0.0945239,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,1,4,3,2,4,1,1,4,4,1,1,4,0.537916
0043,1280,720,0.264905,0.386136,0.0608608,0.370138,0.539529,0.0414141,0.364957,0.531976,0.0262051,0.158348,0.483069,0.0391053,10.7218,11.3425,10.101,12.151,3,0.243869,0.264947,0,0,0,0,0.175119,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.546587
0044,1280,720,0.363414,0.391631,0.138202,0.3321,0.357886,0.142156,0.304485,0.328126,0.143384,0.1308,0.357326,0.136963,10.6515,11.289,10.0139,12.0692,3,0.137007,0.143431,0.0978261,0.0104599,0.0108696,0.0151321,0.099026,0.23976,0.3996,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.552673
0045,1280,720,0.553017,0.0618843,0.0478604,0.257972,0.0288679,0.0141236,0.189011,0.0211508,0.00710091,0.073518,0.0371445,0.0212614,10.4687,11.0997,9.83776,11.8606,3,0.0217567,0.0219135,0.0769231,0.00306682,0,0.00479912,0.0277833,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.226732
0046,1280,720,0.362988,0.504879,0.15315,0.325894,0.453285,0.148004,0.311118,0.432733,0.134827,0.415759,0.457088,0.144099,10.495,11.126,9.86406,11.8864,3,0.0330834,0.0334469,0.373333,0.0253318,0.0133333,0.0578998,0.102846,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,0.601953
0047,1280,720,0.348438,0.436958,0.155092,0.341384,0.428112,0.15423,0.310178,0.388977,0.165415,0.572147,0.417862,0.151655,10.5534,11.1682,9.93856,11.9439,3,0.0636972,0.065056,0.22449,0.0175237,0.0136054,0.0631319,0.120654,0.25,0.416667,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,4,1,1,1,4,4,1,4,2,2,2,1,0.597852
0048,1280,720,0.355418,0.428422,0.15956,0.343811,0.414431,0.159956,0.300771,0.36255,0.155507,0.755213,0.404469,0.155013,10.5394,11.1547,9.92418,11.9188,3,0.0611396,0.062391,0.0258621,0.000918586,0,0.00177485,0.1023,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,1,4,1,1,1,1,1,1,4,4,1,2,1,0.56975
0049,1280,720,0.3752,0.453935,0.0883008,0.297447,0.359866,0.0747395,0.327353,0.396048,0.0914043,0.344177,0.384235,0.0786278,10.6148,11.2528,9.97671,12.004,3,0.166647,0.176261,0.0580645,0.00207014,0,0.00672992,0.105269,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,1,1,4,1,4,1,4,1,3,1,1,4,1,0.60577
0050,1280,720,0.332996,0.424521,0.132483,0.330864,0.421803,0.133036,0.336139,0.428528,0.132606,0.0272408,0.414942,0.126821,10.5375,11.1872,9.88771,11.9234,3,0.154038,0.162237,0.0463576,0.00943493,0,0.00293468,0.0675515,0.3,0.5,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,4,1,1,1,4,1,1,1,4,1,1,1,0.604618
0051,480,360,0.529247,0.157449,0.0205398,0.343754,0.102265,0.0208124,0.126999,0.0377816,0.0106098,0.0190448,0.109134,0.018377,10.4666,11.1048,9.82844,11.8397,3,0.0403463,0.0408887,0.38,0.00979583,0,0.00664706,0.0672259,0.25,0.416667,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,4,4,4,4,2,4,2,4,2,2,4,0.495651
0052,1280,720,0.38526,0.539241,0.129724,0.312268,0.437076,0.101067,0.302472,0.423364,0.0983825,0.137504,0.456774,0.105927,10.378,11.027,9.72907,11.7381,3,0.21764,0.234465,0.903846,0.124574,0.153846,0.100985,0.0770877,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,1,4,4,4,1,4,4,4,1,4,4,1,4,0.576711
0053,480,360,0.330796,0.544372,0.0863825,0.341209,0.561507,0.0867415,0.327995,0.539762,0.0865111,0.0390012,0.543402,0.0848933,10.3348,10.9861,9.68349,11.7052,3,0.271682,0.298454,0.107843,0.00521025,0,0.0178585,0.0583478,0.3,0.5,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4,4,2,2,4,4,2,4,4,4,2,2,2,4,0.613488
0054,640,360,0.361212,0.325468,0.0488352,0.331251,0.298472,0.0398012,0.307537,0.277105,0.0396203,0.0708528,0.298053,0.0403778,10.3636,11.0143,9.71281,11.7299,3,0.157606,0.166249,0.106557,0.0038801,0,0.0191123,0.103799,0.2997,0.499501,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,4,3,4,1,4,1,1,1,4,1,1,1,1,0.597554
0055,1280,720,0.33238,0.398431,0.131873,0.322102,0.386111,0.163209,0.345518,0.41418,0.186175,0.463012,0.385146,0.14931,10.3687,11.0244,9.71298,11.7409,3,0.0882625,0.090909,0.0325581,0.00304742,0,0.00468764,0.0914294,0.3,0.5,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,1,1,1,2,4,1,2,3,2,1,1,1,0.572215
0056,640,360,0.382648,0.375496,0.0681533,0.331126,0.324937,0.0612885,0.286226,0.280877,0.0529745,0.0645458,0.328379,0.0606923,10.3831,11.0308,9.7355,11.7576,3,0.168673,0.178605,0.313869,0.0188669,0.00729927,0.0287963,0.085758,0.2997,0.499501,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,3,4,3,4,1,4,1,1,1,1,4,4,0.592846
0057,1280,720,0.388118,0.476427,0.0598095,0.33362,0.409528,0.0518156,0.278262,0.341575,0.048696,0.849722,0.413329,0.0481456,10.5687,11.1926,9.94482,11.9322,3,0.0671883,0.0687012,0.0553191,0.00385793,0.00425532,0.00672507,0.136507,0.3,0.5,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,4,1,1,1,4,4,1,1,1,4,1,0.639846
0058,1280,720,0.348646,0.323371,0.0968049,0.340917,0.316202,0.0936519,0.310438,0.287932,0.0919046,0.392948,0.308819,0.0919228,10.6674,11.3499,9.98486,12.0492,3,0.0805608,0.0827388,0.205128,0.00701289,0,0.00568125,0.123913,0.24,0.4,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,3,1,1,4,4,3,1,0.579625
0059,1280,720,0.392914,0.227602,0.0879068,0.270129,0.156477,0.0461229,0.336958,0.195189,0.049809,0.14096,0.178416,0.0546765,10.6011,11.2986,9.9036,11.9779,3,0.117782,0.122506,0.0598291,0.001179,0,0.00412267,0.0470624,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,1,1,1,4,1,4,1,4,1,4,1,1,1,0.525904
0060,1280,720,0.361892,0.646105,0.0600971,0.347198,0.619871,0.0668649,0.290909,0.519376,0.0750651,1,0.604048,0.0628474,10.8758,11.5252,10.2264,12.2848,3,0.00131436,0.00131492,0,0,0,0,0.2163,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,2,4,3,2,2,2,4,2,2,3,4,4,4,0.59501
0061,1280,720,0.431723,0.651932,0.100338,0.323075,0.487866,0.0715638,0.245202,0.370271,0.0550758,0.195863,0.513036,0.0755171,10.8734,11.5562,10.1906,12.2947,3,0.0708572,0.072526,0.65942,0.0220504,0,0.00974709,0.0883884,0.2997,0.499501,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,3,4,1,4,2,4,1,4,2,4,1,4,4,4,0.597512
